MobileChatConversation,Id,int,10,NO,Yes,Yes,NULL
MobileChatConversation,GroupName,nvarchar,50,YES,No,No,NULL
MobileChatConversation,IsInactive,bit,NULL,NO,No,No,((0))
ListSmartListItems,iListSmartListID,int,10,NO,Yes,Yes,NULL
ListSmartListItems,iListFilterID,int,10,NO,No,No,NULL
ListSmartListItems,iRecordID,int,10,YES,No,No,NULL
ItemZonePricing,ID,int,10,NO,Yes,No,NULL
ItemZonePricing,ItemID,int,10,YES,No,No,NULL
ItemZonePricing,ZoneValue,int,10,YES,No,No,NULL
ItemZonePricing,Abbreviation,varchar,10,YES,No,No,('')
ItemZonePricing,Description,varchar,100,YES,No,No,('')
ItemZonePricing,Price,float,53,YES,No,No,NULL
ItemZonePricing,LaborMinutes,int,10,YES,No,No,NULL
pr2PaycheckEarning,iPaycheckEarningID,int,10,NO,Yes,Yes,NULL
pr2PaycheckEarning,iPaycheckID,int,10,NO,No,Yes,((0))
pr2PaycheckEarning,iEarningID,int,10,NO,No,Yes,((0))
pr2PaycheckEarning,iCalculationTypeID,int,10,YES,No,No,((0))
pr2PaycheckEarning,Hours,float,53,YES,No,No,NULL
pr2PaycheckEarning,Amount,money,19,YES,No,No,NULL
pr2PaycheckEarning,Total,money,19,YES,No,No,NULL
pr2PaycheckEarning,AccountID,int,10,NO,No,No,((0))
pr2PaycheckEarning,bTimeOff,bit,NULL,NO,No,No,((0))
pr2PaycheckEarning,iTimeOffID,int,10,YES,No,No,((0))
pr2PaycheckEarning,Sort,float,53,YES,No,No,NULL
pr2PaycheckEarning,iOldPaycheckEarning,int,10,YES,No,No,NULL
pr2PaycheckEarning,iDepartmentID,int,10,YES,No,No,NULL
LoadCalculators,Id,int,10,NO,Yes,Yes,NULL
LoadCalculators,ProjectName,nvarchar,500,NO,No,No,NULL
LoadCalculators,Notes,nvarchar,-1,YES,No,No,NULL
LoadCalculators,GrossWallSqFt,int,10,NO,No,No,NULL
LoadCalculators,NetWallSqFr,int,10,NO,No,No,NULL
LoadCalculators,CeilingSqFt,int,10,NO,No,No,NULL
LoadCalculators,FloorSqFt,int,10,NO,No,No,NULL
LoadCalculators,DuctId,int,10,NO,No,Yes,NULL
LoadCalculators,DuctHeatingOver,bit,NULL,NO,No,No,NULL
LoadCalculators,WallTypeId,int,10,NO,No,Yes,NULL
LoadCalculators,CeilingTypeId,int,10,NO,No,Yes,NULL
LoadCalculators,FloorTypeId,int,10,NO,No,Yes,NULL
LoadCalculators,FloorInfilMultiId,int,10,NO,No,No,NULL
LoadCalculators,SummerOutsideTempId,int,10,NO,No,Yes,NULL
LoadCalculators,SummerInsideTemp,int,10,NO,No,No,NULL
LoadCalculators,WinterOutsideTemp,int,10,NO,No,No,NULL
LoadCalculators,WinterInsideTemp,int,10,NO,No,No,NULL
LoadCalculators,MoistureRemovalId,int,10,NO,No,No,NULL
LoadCalculators,PersonCount,int,10,NO,No,No,NULL
LoadCalculators,AppliancesBTUH,int,10,NO,No,No,NULL
LoadCalculators,FireplaceCount,int,10,NO,No,No,((0))
LoadCalculators,VolumeCubicFeet,int,10,NO,No,No,((0))
LoadCalculators,CustomerId,int,10,NO,No,Yes,((0))
LoadCalculators,TotalGain,decimal,18,NO,No,No,((0))
LoadCalculators,TotalLoss,decimal,18,NO,No,No,((0))
LoadCalculators,AverageWallHeight,int,10,NO,No,No,((0))
LoadCalculators,CreatedByUserId,int,10,NO,No,Yes,((0))
LoadCalculators,LastUpdateDate,datetime,NULL,NO,No,No,('1900-01-01T00:00:00.000')
ReminderItems,ID,int,10,NO,Yes,Yes,NULL
ReminderItems,iReminderID,int,10,YES,No,No,NULL
ReminderItems,iUserID,int,10,YES,No,No,NULL
ReminderItems,iTranID,int,10,YES,No,No,NULL
ReminderItems,sTranType,nvarchar,50,YES,No,No,NULL
ReminderItems,dtDate,datetime,NULL,YES,No,No,NULL
ReminderItems,dtCompleted,datetime,NULL,YES,No,No,NULL
ReminderItems,bDone,bit,NULL,NO,No,No,((0))
ReminderItems,sDesc,nvarchar,-1,YES,No,No,NULL
ReminderItems,sNotes,nvarchar,-1,YES,No,No,NULL
ReminderItems,bAuto,bit,NULL,NO,No,No,((0))
EmplSkills,iEmplSkillsID,int,10,NO,Yes,Yes,NULL
EmplSkills,iEmplID,int,10,YES,No,No,NULL
EmplSkills,iWOTypeID,int,10,YES,No,No,NULL
SOM_Stage,SOM_StageID,int,10,NO,Yes,Yes,NULL
SOM_Stage,sName,varchar,255,YES,No,No,NULL
SOM_Stage,bInactive,bit,NULL,NO,No,No,((0))
SOM_Stage,iOrder,int,10,NO,No,No,((0))
SOM_Stage,sDescription,nvarchar,255,YES,No,No,NULL
